case_id,package,scope,required_proof,scenario,expected_result,status,evidence
TL12,P03,all,live_pilot_provider,Cadastrar conector MCP ou OpenAPI e executar acao de teste,Schema autenticacao e efeito corretos com concessao limitada,in_progress,"MCP JSON/SSE and OpenAPI registration and native Executor writes verified against a real local HTTP fixture with encrypted credentials, replay and revocation. Customer provider pilot pending. See adr-customer-connectors.md."
TL13,P03,all,integration_real_executor,Dependencia inexistente ou schema de saida invalido,Erro acionavel sem ferramenta inventada ou fallback privilegiado,in_progress,"Bounded customer code and remote MCP/OpenAPI paths implemented; Git proposals, pinned versions, native action dispatch, private/workspace/group isolation and revocation have fixture coverage. Full acceptance journey and live Eve/provider qualification pending. See adr-customer-tools.md and adr-customer-connectors.md."
TL14,P03,all,integration_real_executor,Criar ferramenta de escrita que se descreve como leitura,Politica efetiva exige autorizacao da operacao real,passed_integration,All imported remote actions have a host-owned native approval policy and Code Mode returns call_required regardless of provider hints. customer-connectors.integration.ts; live Eve approval journey remains a separate gate.
TN01,P04,professional,integration,Dois membros ativos acessam rede da propria empresa,Descobrem e contatam bots publicados pela politica corporativa,passed_integration,Company membership and separate project boundaries verified; workspace-network.integration.ts.
TN02,P04,professional,integration,Pessoa convidada mas ainda nao membro consulta rede,Acesso de membro negado,passed_integration,Pending invitation grants no network access; workspace-network.integration.ts.
TN03,P04,personal,live_two_users,Enviar convite pessoal aceitar e conversar com bot,Conexao reciproca explicita habilita conversa autorizada,passed_isolated_ui,"Two authenticated synthetic accounts: invite, accept, actual Synapse/native-Eve answer, mobile/desktop and one document each. zoen-network-validation.md."
TN04,P04,personal,integration,Revogar ou bloquear conexao durante tarefa,Novas chamadas e resultados protegidos sao bloqueados,passed_integration,Peer block denies Matrix reads/sends and pending A2A output; matrix-network.integration.ts.
TN05,P04,all,integration,Contato de um contato tenta herdar confianca,Confianca nao transita para terceiros,passed_integration,Third-party trust is nontransitive; workspace-network.integration.ts.
TN06,P04,professional,integration,Funcionario em duas empresas tenta usar uma rede na outra,Redes e dados permanecem separados,passed_integration,Two company networks remain separate; workspace-network.integration.ts.
TN07,P04,professional,integration,Colega tenta acessar bot pessoal nao publicado,Bot pessoal e seus dados nao aparecem automaticamente na empresa,passed_integration,Unpublished personal bots do not appear to company members; workspace-network.integration.ts.
TN08,P04,professional,integration,Remover membro com token de rede e tarefa pendente,Participacao atual invalida o acesso e a entrega pendente,passed_integration,"Company/project removal invalidates grants and late output, including retained company membership; matrix-network and workspace-boundaries integration tests."
TN09,P04,all,integration,A2A forja rede usuario ou bot de origem,Servidor rejeita identidade ou concessao incompatível,passed_integration,Server-derived source identity and rejected forged network attributes; workspace-network and matrix-network integration tests.
TN10,P04,all,integration,Conhecer bot e rede sem ter capacidade para dados,Conversa nao abre arquivos ferramentas ou cofre privados,passed_integration,Conversation-only grant denies private files and customer capabilities; workspace-network integration and native memory-canary checks.
MX01,P04,personal,live_two_agents_matrix,Humano conversa com bot de outra pessoa em Synapse real,Resposta vem do bot correto e audiencia e preservada,passed_isolated_native,"Actual Synapse, two synthetic identities and native Eve/Luna response; also browser human-to-bot/follow-up proof. zoen-network-validation.md."
MX02,P04,professional,live_two_agents_a2a,Bot Ana pede tarefa ao bot Bruno via A2A e responde em Matrix,Uma tarefa real com concessao e correlacao de ponta a ponta,passed_isolated_native,"Three actual native-Eve two-project company runs: approved Matrix/A2A dispatch, scoped result returned to source, native human conversation and unpublishing. network-matrix-2026-09-15.json."
MX03,P04,all,integration_real_matrix,Repetir evento e entregar pelo canal e A2A,Uma execucao e um efeito sem loop de espelhamento,passed_integration,Repeated Synapse transaction/event produces one A2A task and stable answer transaction; matrix-network.integration.ts.
MX04,P04,all,integration_real_matrix,Convidado entra depois de mensagens privadas,Historico anterior respeita a politica de visibilidade,passed_integration,Real Synapse joined-history and removed-member proof; matrix-rooms.integration.ts.
MX05,P04,all,integration_real_a2a,Consultar cancelar ou continuar tarefa de outra concessao,Acesso negado mesmo com taskId ou contextId conhecido,passed_integration,Cross-grant task reads/cancellation denied; workspace-network and workspace-protocol integration tests.
MX06,P04,all,integration_real_a2a,Cancelar tarefa antes de resultado tardio,Nao reabre tarefa terminal nem entrega resultado protegido,passed_integration,Terminal cancellation cannot be reopened; output cleared and queued native cancellation/room retirement survive cascades. matrix-network integration.
MX07,P04,all,live_two_agents_a2a,Dois bots tentam responder indefinidamente,Limite de rodadas tempo e custo encerra a cadeia,in_progress,Customer conversation grants cannot recursively contact bots. Internal chain eight-round bound tested deterministically; native recursive chain is unavailable.
MX08,P04,all,live_two_agents_matrix,Pedido malicioso tenta revelar canarios de outros espacos,Canarios ausentes de respostas ferramentas e observabilidade,passed_isolated_native,Private destination memory canary absent from Matrix answer and source events in native Eve runs. Synthetic data only; see zoen-network-validation.md.
MX09,P04,all,integration_real_matrix_crypto,Entrar sair trocar dispositivo e recuperar sala E2EE,Criptografia so e anunciada apos cliente agente e chaves funcionarem,blocked,E2EE is not implemented or advertised; an encryption event closes the agent route. Requires a separate crypto-client/key recovery implementation.
VA01,P05,personal,real_vaultwarden,Cliente cria desbloqueia e sincroniza cofre hospedado,Itens persistem criptografados e acesso usa cliente compativel,passed_isolated_real,"Real Vaultwarden 1.37.3 and official Web/CLI clients: SSO, encrypted item persistence, independent unlock and restored data. Synthetic accounts only; zoen-vault-validation.md."
VA02,P05,personal,real_vaultwarden,Delegar um de dois itens por identidade criptografica restrita,Agente usa somente item delegado sem senha mestra do usuario,in_progress,Independent official-client vault keys and selected-copy proof passed; Zoen delegation and export import tested separately. Protected agent browser use remains pending.
VA03,P05,personal,real_vaultwarden_browser,Agente entra em site de teste com senha e TOTP,Login observado sem senha codigo ou semente no modelo,planned,
VA04,P05,all,real_vaultwarden_browser,TOTP expirado zeros iniciais relogio divergente ou reuso,Comportamento respeita verificador e falha recuperavel,planned,
VA05,P05,all,real_vaultwarden_browser,Pagina redireciona para outra origem ou iframe nao autorizado,Nenhum segredo e preenchido em destino nao aprovado,planned,
VA06,P05,all,real_vaultwarden_browser,Modelo tenta ler DOM screenshot HAR ou cookies apos autofill,Fase protegida e sessao nao revelam material secreto,planned,
VA07,P05,professional,real_vaultwarden,Funcionario usa item da empresa no pessoal ou apos sair,Uso negado por escopo e concessao atual,planned,
VA08,P05,all,real_vaultwarden,Cliente A tenta usar referencia opaca do cliente B,Acesso e descriptografia impossiveis ao principal indevido,planned,
VA09,P05,all,real_vaultwarden_browser,Revogar durante espera e retomar sessao antiga,Uso e reutilizacao interna da sessao sao interrompidos,planned,
VA10,P05,all,real_vaultwarden,Reiniciar servico rotacionar chave e restaurar backup isolado,Cofre recupera itens e anexos sem abrir acesso amplo,in_progress,Real quiesced restic backup and isolated DB plus attachment restore passed; failed backup reopens service and fails health until recovery. Rotation and production drill pending.
VA11,P05,all,real_vaultwarden,Usar credencial de API sem desbloqueio ou concessao,Falha fechada sem chave global de fallback,planned,
VA12,P05,all,real_vaultwarden_browser,Escanear todos os destinos de telemetria com canarios,Zero senha token codigo semente ou cookie exportado,planned,
VA13,P05,personal,real_vaultwarden,Ativar 2FA de acesso ao cofre e executar delegacao limitada,Protecao de login do cofre nao e confundida com TOTP de site,in_progress,Official web client enabled account TOTP; SSO required code and master unlock. Empty/wrong code rejected; leading-zero code accepted. Site TOTP remains pending.
BR01,P06,personal,live_beeper_desktop,Autorizar Desktop por OAuth e escolher chats,Conexao revogavel com conta e disponibilidade visiveis,planned,
BR02,P06,personal,live_whatsapp_bridge,Parear conta piloto receber DM e responder como usuario,Autor destinatario e recibo corretos sem token de bot reutilizado,planned,
BR03,P06,group,live_whatsapp_bridge,Responder em grupo existente de participantes de teste,Entrega real apenas ao grupo autorizado com autor correto,planned,
BR04,P06,group,live_whatsapp_bridge,Enviar imagem audio e resposta citada,Mídia e correlacao preservadas sem vazamento entre chats,planned,
BR05,P06,all,live_whatsapp_bridge,Interromper rede apos envio e repetir evento,Reconcilia status sem duplicar efeito nem gerar loop,planned,
BR06,P06,all,live_whatsapp_bridge,Revogar pareamento e tentar tarefa na fila,Leitura envio e retomada bloqueados,planned,
BR07,P06,all,integration_real_bridge,Cliente ou grupo usa roomId de outra conta,Acesso negado e resultado nao aparece na observabilidade errada,passed_integration,tests/runtime/whatsapp-bridge.integration.ts fixture: company cannot read a personal DM; 2026-09-15
BR08,P06,all,integration_real_bridge_crypto,Verificar chaves e mensagem em sala criptografada,Contrato de criptografia documentado sem promessa nao testada,in_progress,"Hosted mautrix config sets encryption.allow=false; WhatsApp plaintext still crosses the bridge. Live E2EE proof pending. adr-whatsapp-user-bridge.md"
BR09,P06,personal,live_beeper_desktop,Desktop fecha ou rede conectada perde sessao,Estado recuperavel sem prometer funcionamento continuo offline,planned,
BR10,P06,group,live_whatsapp_bridge,Sincronizar historico parcial e pedir catch-up,Resumo indica periodo cobertura e mensagens de origem sem fingir historico completo,planned,
BR11,P06,all,integration_real_bridge,Backfill e evento novo chegam repetidos fora de ordem,Cursor distingue historico de novidade e nao envia alerta ou resposta duplicados,passed_integration,tests/runtime/whatsapp-bridge.integration.ts duplicate (account_id, provider_event_id); 2026-09-15
BR12,P06,group,live_whatsapp_bridge,Editar rascunho ou trocar destinatario depois da autorizacao,Conteudo e destino novos exigem autorizacao correspondente,planned,
BR13,P06,all,live_whatsapp_bridge,Agendar follow-up e receber resposta antes do prazo,Consulta estado recente e cancela cobranca desnecessaria,planned,
BR14,P06,all,integration_real_bridge,Importar contatos e tentar A2A sem convite aceito,Contato sincronizado nao recebe confianca ou concessao automaticamente,passed_integration,tests/runtime/whatsapp-bridge.integration.ts contacts vs user_directory/personal_trust_edges; 2026-09-15
BR15,P06,professional,integration_real_bridge,Resumir chat pessoal em grupo de empresa sem compartilhamento,Nenhum conteudo ou resumo privado atravessa o escopo,passed_integration,tests/runtime/whatsapp-bridge.integration.ts company summarize of unshared DM denied; 2026-09-15
BR16,P06,all,live_whatsapp_bridge,Pausar acompanhamento durante sincronizacao e retomar,Nenhum trabalho novo e enviado durante pausa e estado retoma sem duplicacao,planned,
DL01,P07,personal,integration_full_stack,Excluir conta com memoria conversas anexos e fontes,Dados ativos pessoais apagados e sessao imediatamente revogada,passed_integration,tests/runtime/account-deletion.integration.ts PostgreSQL wipe of sessions chats vault items and personal git; 2026-09-15. Live Mem0/backup media remain pending_external.
DL02,P07,personal,integration_full_stack,Excluir enquanto existem jobs grants e conexoes,Tarefas cessam e provedores delegados perdem novas autorizacoes,passed_integration,tests/runtime/account-deletion.integration.ts jobs connections grants cancelled; fixture wipes in account-deletion-providers.integration.ts. Live provider crash stays pending_external.
DL03,P07,professional,integration_full_stack,Membro exclui conta com ativos corporativos,Ativos da empresa mantidos sem manter credenciais pessoais utilizaveis,passed_integration,tests/runtime/account-deletion.integration.ts company git and company workspace retained; personal credentials gone.
DL04,P07,professional,integration_full_stack,Unico dono solicita exclusao,Fluxo exige transferencia ou encerramento explicito da empresa,passed_integration,tests/runtime/account-deletion.integration.ts sole-admin block then transfer or close.
DL05,P07,personal,integration_full_stack,Restaurar backup anterior ao apagamento,Ledger reaplicado antes de servir trafego e dados nao ressurgem,passed_integration,tests/runtime/account-deletion.integration.ts and account-deletion-providers.integration.ts restore of vault/WhatsApp/Matrix rows is wiped again; company git retained. Live backup media restore remains pending.
DL06,P07,personal,integration_full_stack,Provedor falha no meio da exclusao e job e reexecutado,Operacao idempotente informa pendencia e conclui ao recuperar,passed_integration,account-deletion-providers.integration.ts unreachable providers stay pending_external; vault retries after fixture recovery. Live Vaultwarden/Synapse/mautrix crash not marked passed.
DL07,P07,all,integration_full_stack,Tentar ler revisao Git antiga indice ou exportacao apos exclusao,Nenhum dado apagado permanece acessivel nos servicos controlados,passed_integration,tests/runtime/account-deletion.integration.ts personal git/chat/vault gone; company git retained. Live Mem0 index purge pending_external.
OP01,P08,all,live_load,25 usuarios com cinco tarefas concorrentes por 30 minutos,Envelope e latencias medidos sem vazamentos perdas ou efeitos duplicados,planned,
OP02,P08,all,live_load,Rajada de dez tarefas e quota insuficiente,Fila limita demanda e informa saturacao sem esconder falhas,planned,
OP03,P08,all,live_soak,24 horas com reinicios pausas e trabalhos programados,Sem perda de trabalho aceito nem crescimento de recursos sem limite,planned,
OP04,P08,all,integration_faults,Indisponibilidade de PG Mem0 worker vault e bridge,Recuperacao controlada preserva autorizacao e estados observaveis,passed_integration,Fail-closed requireVaultwarden/requireWhatsAppBridge and deletion pending_external proved in qualification.integration.ts and account-deletion-providers.integration.ts. Live PG/Mem0/worker kill not injected.
OP05,P08,all,live_eve_evals,Rodar cenarios unicos com tres repeticoes por modelo,Relatorio distingue cenarios execucoes fixtures e entregas reais,planned,
OP06,P08,all,integration_observability,Correlacionar entrada Executor A2A modelo e entrega,Trace explica comportamento sem material secreto e com escopo enterprise,passed_integration,tests/runtime/observability.integration.ts correlates workspace/channel/room/tool/grant/outbox and redacts TOTP/tokens. Live Executor/A2A delivery trace not captured.
OP07,P08,professional,integration_observability,Usuario de uma empresa acessa dashboard de outra,Metricas eventos traces e exportacoes negam dados alheios,passed_integration,tests/runtime/observability.integration.ts and qualification.integration.ts deny cross-workspace diagnostics. Live two-company dashboard journey not run.
OP08,P08,all,live_fault_alert,Provocar falha controlada e verificar alerta,Alerta acionavel chega ao destino operacional configurado,planned,
UX01,P01,all,live_browser,Onboarding conexoes rede e cofre em PT-BR EN e ES,Textos consistentes sem etapa de consolidacao normal,planned,
UX02,P03,all,live_browser,Abrir fechar e navegar sheets em mobile e desktop,Sem reload de documento ou perda de estado e com foco acessivel,planned,
UX03,P04,all,live_browser,Conversar com bot de outra pessoa no pessoal e empresa,Rede audiencia e identidade do bot ficam claras,in_progress,Personal two-user browser journey and both-scope native evals pass; professional visual journey remains to qualify. zoen-network-validation.md.
REL01,P09,all,ci_exact_sha,Executar verificacoes runtime build evals e auditorias,Todos os gates obrigatorios passam na mesma revisao,passed_integration,Stacked P08/P09 PR records pnpm check/build/db:check/eval:list on one SHA. eval:ci and Alchemy were not run; live result stays blocked.
REL02,P09,all,live_deploy,Publicar por Alchemy e verificar recuperacao e saude,Revisao e imagens correspondem ao candidato testado,planned,
REL03,P09,all,documentation_review,Conferir capacidades licencas limites e instrucoes operacionais,Docs distinguem instalado testado indisponivel e prova faltante,passed_integration,docs/decisions/adr-customer-platform-release.md REL03 map. Live hosted-beta publication missing.
